Zone,sum,count,Zone,pct
Zone1,133,1147,Zone1,0.11595466434176112
Zone2,126,1147,Zone2,0.10985178727114212
Zone8,124,1147,Zone8,0.10810810810810811
Zone14,122,1147,Zone14,0.10636442894507411
Zone15,118,1147,Zone15,0.1028770706190061
Zone11,116,1147,Zone11,0.1011333914559721
Zone6,116,1147,Zone6,0.1011333914559721
Zone13,110,1147,Zone13,0.0959023539668701
Zone16,109,1147,Zone16,0.0950305143853531
Zone4,108,1147,Zone4,0.09415867480383609
Zone5,106,1147,Zone5,0.09241499564080209
Zone3,104,1147,Zone3,0.09067131647776809
Zone12,101,1147,Zone12,0.08805579773321709
Zone10,100,1147,Zone10,0.08718395815170009
Zone17,95,1147,Zone17,0.08282476024411509
Zone7,93,1147,Zone7,0.08108108108108109
Zone9,90,1147,Zone9,0.07846556233653008
